system:index,B11,B4,B5,B8,EVI,NDRE,NDVI,NDWI,date,.geo
20151218T082342_20151218T084757_T34HCH,0.2758145063802538,0.10816032536628546,0.13820467724234642,0.20748705419739408,0.17601680949036458,0.18768641685104392,0.3077605044630823,-0.15988121124532298,2015-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151218T082342_20151218T084757_T34HCJ,0.29812815163705164,0.12708027056804627,0.1547986616650699,0.2189518730480637,0.15997760531477845,0.16477867715440972,0.26493250346572694,-0.1671236350209228,2015-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160206T082122_20160206T084754_T34HCH,0.26036021446702334,0.10550258212009225,0.13197203263425492,0.18158802119687362,1.5197276197258218,0.14436411293257106,0.2551103741986882,-0.19404922718988143,2016-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160206T082122_20160206T084754_T34HCJ,0.2888060162595443,0.12499376339962771,0.15160887774545728,0.19994450530128302,0.13500853484862887,0.13181608575848502,0.23095621336624278,-0.19209711224273357,2016-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160406T081652_20160406T083818_T34HCH,0.23716420240273314,0.09290457372049246,0.11645218699535474,0.16592893028714448,0.1324387175717621,0.16575067185874331,0.2835839287596565,-0.20104199656800145,2016-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160426T082012_20160426T083933_T34HCJ,0.23967993254399184,0.09796401565111158,0.12172612846076407,0.17321466900094604,0.13543956838582022,0.1706417418953417,0.2840976960537946,-0.1789417536932664,2016-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160526T082012_20160526T084351_T34HCH,0.19588293440411406,0.07190150478583596,0.09369465104579122,0.13698524575596818,0.3493915761907029,0.21516831799496183,0.3659084457408552,-0.21711033814488706,2016-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160526T082012_20160526T084351_T34HCJ,0.21933091685373474,0.08346206148567584,0.10853432311163198,0.1611569106205131,0.14026952950620258,0.19832144036770882,0.33739276998563394,-0.18656664229880035,2016-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160804T081612_20160804T084527_T34HCH,0.1796132959440237,0.06975121638457879,0.09106056632212588,0.13986095706609733,-1.2703224686534695,0.22884665253626352,0.3790557914568983,-0.15252174167281174,2016-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160804T081612_20160804T084527_T34HCJ,0.18431162848538377,0.07753326863021383,0.10373644222430438,0.16764462349205886,0.1764021872608668,0.23826552343011237,0.39108893628230335,-0.09687962326349306,2016-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
